tvl-c-msit101.crt.travelocity.com | msit | certification | CERT1 |  |  | cert1 |
tvl-c-msit201.crt.travelocity.com | msit | certification | CERT2 |  |  | cert2 |
tvl-c-msit301.crt.travelocity.com | msit | certification | CERT3 |  |  | cert3 |
tvl-c-msit401.crt.travelocity.com | msit | certification | CERT4 |  |  | cert4 |
tvl-c-mser101.crt.travelocity.com | mser | certification | CERT1 |  |  | cert1 |
tvl-c-mser201.crt.travelocity.com | mser | certification | CERT2 |  |  | cert2 |
tvl-c-mser301.crt.travelocity.com | mser | certification | CERT3 |  |  | cert3 |
tvl-c-mser401.crt.travelocity.com | mser | certification | CERT4 |  |  | cert4 |
tvl-c-mutl101.crt.travelocity.com | mutl | certification | CERT1 |  |  | cert1 |
tvl-c-mutl201.crt.travelocity.com | mutl | certification | CERT2 |  |  | cert2 |
tvl-c-mutl301.crt.travelocity.com | mutl | certification | CERT3 |  |  | cert3 |
tvl-c-mutl401.crt.travelocity.com | mutl | certification | CERT4 |  |  | cert4 |
tvl-c-mbks101.crt.travelocity.com | mbks | certification | CERT1 |  |  | cert1 | 
tvl-c-mbks201.crt.travelocity.com | mbks | certification | CERT2 |  |  | cert2 | 
tvl-c-mbks301.crt.travelocity.com | mbks | certification | CERT3 |  |  | cert3 | 
tvl-c-mbks401.crt.travelocity.com | mbks | certification | CERT4 |  |  | cert4 | 
tvl-c-mflt101.crt.travelocity.com | mflt | certification | CERT1 |  |  | cert1 |
tvl-c-mflt201.crt.travelocity.com | mflt | certification | CERT2 |  |  | cert2 |
tvl-c-mflt301.crt.travelocity.com | mflt | certification | CERT3 |  |  | cert3 |
tvl-c-mflt401.crt.travelocity.com | mflt | certification | CERT4 |  |  | cert4 |
